Iterations,Seconds,Score
409020000,1746737722,1.496094
409030000,1746737722,1.496094
409040000,1746737723,1.496094
409050000,1746737723,1.496094
409060000,1746737724,1.496094
409070000,1746737724,1.496094
409080000,1746737725,1.496094
409090000,1746737725,1.496094
409100000,1746737726,1.496094
409110000,1746737726,1.496094
409120000,1746737726,1.496094
409130000,1746737727,1.496094
409140000,1746737727,1.496094
409150000,1746737728,1.496094
409160000,1746737728,1.496094
409170000,1746737729,1.496094
409180000,1746737729,1.496094
409190000,1746737730,1.496094
409200000,1746737730,1.496094
409210000,1746737731,1.496094
409220000,1746737731,1.496094
409230000,1746737731,1.496094
409240000,1746737732,1.496094
409250000,1746737732,1.496094
409260000,1746737733,1.496094
409270000,1746737733,1.496094
409280000,1746737734,1.496094
409290000,1746737734,1.496094
409300000,1746737735,1.496094
409310000,1746737735,1.496094
409320000,1746737735,1.496094
409330000,1746737736,1.496094
409340000,1746737736,1.496094
409350000,1746737737,1.496094
409360000,1746737737,1.496094
409370000,1746737738,1.496094
409380000,1746737738,1.496094
409390000,1746737739,1.496094
409400000,1746737739,1.496094
409410000,1746737739,1.496094
409420000,1746737740,1.496094
409430000,1746737740,1.496094
409440000,1746737741,1.496094
409450000,1746737741,1.496094
409460000,1746737742,1.496094
409470000,1746737742,1.496094
409480000,1746737743,1.496094
409490000,1746737743,1.496094
409500000,1746737743,1.496094
409510000,1746737744,1.496094
409520000,1746737744,1.496094
409530000,1746737745,1.496094
409540000,1746737745,1.496094
409550000,1746737746,1.496094
409560000,1746737746,1.496094
409570000,1746737747,1.496094
409580000,1746737747,1.496094
409590000,1746737747,1.496094
409600000,1746737748,1.496094
409610000,1746737748,1.496094
409620000,1746737749,1.496094
409630000,1746737749,1.496094
409640000,1746737750,1.496094
409650000,1746737750,1.496094
409660000,1746737751,1.496094
409670000,1746737751,1.496094
409680000,1746737751,1.496094
409690000,1746737752,1.496094
409700000,1746737752,1.496094
409710000,1746737753,1.496094
409720000,1746737753,1.496094
409730000,1746737754,1.496094
409740000,1746737754,1.496094
409750000,1746737755,1.496094
409760000,1746737755,1.496094
409770000,1746737755,1.496094
409780000,1746737756,1.496094
409790000,1746737756,1.496094
409800000,1746737757,1.496094
409810000,1746737757,1.496094
409820000,1746737758,1.496094
409830000,1746737758,1.496094
409840000,1746737759,1.496094
409850000,1746737759,1.496094
409860000,1746737760,1.496094
409870000,1746737760,1.496094
409880000,1746737761,1.496094
409890000,1746737761,1.496094
409900000,1746737761,1.496094
409910000,1746737762,1.496094
409920000,1746737762,1.496094
409930000,1746737763,1.496094
409940000,1746737763,1.496094
409950000,1746737764,1.496094
409960000,1746737764,1.496094
409970000,1746737765,1.496094
409980000,1746737765,1.496094
409990000,1746737766,1.496094
410000000,1746737766,1.496094
410010000,1746737766,1.496094
410020000,1746737767,1.496094
410030000,1746737767,1.496094
410040000,1746737768,1.496094
410050000,1746737768,1.496094
410060000,1746737769,1.496094
410070000,1746737769,1.496094
410080000,1746737769,1.496094
410090000,1746737770,1.496094
410100000,1746737770,1.496094
410110000,1746737771,1.496094
410120000,1746737771,1.496094
410130000,1746737772,1.496094
410140000,1746737772,1.496094
410150000,1746737773,1.496094
410160000,1746737773,1.496094
410170000,1746737774,1.496094
410180000,1746737774,1.496094
410190000,1746737774,1.496094
410200000,1746737775,1.496094
410210000,1746737775,1.496094
410220000,1746737776,1.496094
410230000,1746737776,1.496094
410240000,1746737777,1.496094
410250000,1746737777,1.496094
410260000,1746737778,1.496094
410270000,1746737778,1.496094
410280000,1746737778,1.496094
410290000,1746737779,1.496094
410300000,1746737779,1.496094
410310000,1746737780,1.496094
410320000,1746737780,1.496094
410330000,1746737781,1.496094
410340000,1746737781,1.496094
410350000,1746737782,1.496094
410360000,1746737782,1.496094
410370000,1746737782,1.496094
410380000,1746737783,1.496094
410390000,1746737783,1.496094
410400000,1746737784,1.496094
410410000,1746737784,1.496094
410420000,1746737785,1.496094
410430000,1746737785,1.496094
410440000,1746737786,1.496094
410450000,1746737786,1.496094
410460000,1746737786,1.496094
410470000,1746737787,1.496094
410480000,1746737787,1.496094
410490000,1746737788,1.496094
410500000,1746737788,1.496094
410510000,1746737789,1.496094
410520000,1746737789,1.496094
410530000,1746737790,1.496094
410540000,1746737790,1.496094
410550000,1746737790,1.496094
410560000,1746737791,1.496094
410570000,1746737791,1.496094
410580000,1746737792,1.496094
410590000,1746737792,1.496094
410600000,1746737793,1.496094
410610000,1746737793,1.496094
410620000,1746737794,1.496094
410630000,1746737794,1.496094
410640000,1746737794,1.496094
410650000,1746737795,1.496094
410660000,1746737795,1.496094
410670000,1746737796,1.496094
410680000,1746737796,1.496094
410690000,1746737797,1.496094
410700000,1746737797,1.496094
410710000,1746737798,1.496094
410720000,1746737798,1.496094
410730000,1746737798,1.496094
410740000,1746737799,1.496094
410750000,1746737799,1.496094
410760000,1746737800,1.496094
410770000,1746737800,1.496094
410780000,1746737801,1.496094
410790000,1746737801,1.496094
410800000,1746737802,1.496094
410810000,1746737802,1.496094
410820000,1746737803,1.496094
410830000,1746737803,1.496094
410840000,1746737803,1.496094
410850000,1746737804,1.496094
410860000,1746737804,1.496094
410870000,1746737805,1.496094
410880000,1746737805,1.496094
410890000,1746737806,1.496094
410900000,1746737806,1.496094
410910000,1746737807,1.496094
410920000,1746737807,1.496094
410930000,1746737808,1.496094
410940000,1746737808,1.496094
410950000,1746737808,1.496094
410960000,1746737809,1.496094
410970000,1746737809,1.496094
410980000,1746737810,1.496094
410990000,1746737810,1.496094
411000000,1746737811,1.496094
411010000,1746737811,1.496094
411020000,1746737812,1.496094
411030000,1746737812,1.496094
411040000,1746737813,1.496094
411050000,1746737813,1.496094
411060000,1746737813,1.496094
411070000,1746737814,1.496094
411080000,1746737814,1.496094
411090000,1746737815,1.496094
411100000,1746737815,1.496094
411110000,1746737816,1.496094
411120000,1746737816,1.496094
411130000,1746737817,1.496094
411140000,1746737817,1.496094
411150000,1746737818,1.496094
411160000,1746737818,1.496094
411170000,1746737819,1.496094
411180000,1746737819,1.496094
411190000,1746737819,1.496094
411200000,1746737820,1.496094
411210000,1746737820,1.496094
411220000,1746737821,1.496094
411230000,1746737821,1.496094
411240000,1746737822,1.496094
411250000,1746737822,1.496094
411260000,1746737823,1.496094
411270000,1746737823,1.496094
411280000,1746737823,1.496094
411290000,1746737824,1.496094
411300000,1746737824,1.496094
411310000,1746737825,1.496094
411320000,1746737825,1.496094
411330000,1746737826,1.496094
411340000,1746737826,1.496094
411350000,1746737826,1.496094
411360000,1746737827,1.496094
411370000,1746737827,1.496094
411380000,1746737828,1.496094
411390000,1746737828,1.496094
411400000,1746737829,1.496094
411410000,1746737829,1.496094
411420000,1746737830,1.496094
411430000,1746737830,1.496094
411440000,1746737830,1.496094
411450000,1746737831,1.496094
411460000,1746737831,1.496094
411470000,1746737832,1.496094
411480000,1746737832,1.496094
411490000,1746737833,1.496094
411500000,1746737833,1.496094
411510000,1746737834,1.496094
411520000,1746737834,1.496094
411530000,1746737835,1.496094
411540000,1746737835,1.496094
411550000,1746737835,1.496094
411560000,1746737836,1.496094
411570000,1746737836,1.496094
411580000,1746737837,1.496094
411590000,1746737837,1.496094
411600000,1746737838,1.496094
411610000,1746737838,1.496094
411620000,1746737839,1.496094
411630000,1746737839,1.496094
411640000,1746737839,1.496094
411650000,1746737840,1.496094
411660000,1746737840,1.496094
411670000,1746737841,1.496094
411680000,1746737841,1.496094
411690000,1746737842,1.496094
411700000,1746737842,1.496094
411710000,1746737843,1.496094
411720000,1746737843,1.496094
411730000,1746737844,1.496094
411740000,1746737844,1.496094
411750000,1746737844,1.496094
411760000,1746737845,1.496094
411770000,1746737845,1.496094
411780000,1746737846,1.496094
411790000,1746737846,1.496094
411800000,1746737847,1.496094
411810000,1746737847,1.496094
411820000,1746737847,1.496094
411830000,1746737848,1.496094
411840000,1746737848,1.496094
411850000,1746737849,1.496094
411860000,1746737849,1.496094
